id,module_name,table_name,action,status,user_id,details,ip,user_agent,created_at
"c14fcf2e-cfa8-4cfd-ada6-eca299d3bf69","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T09:31:56.910000"
"0d2f7719-6732-4812-8e32-50493de0df63","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T09:31:47.387000"
"6c1b84c2-d6ba-4b77-9cd8-ac849dde281a","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T09:31:40.134000"
"ffa36a96-e71f-463e-9171-ef2a296f2200","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T09:31:30.140000"
"8a81ab42-4afc-4532-a592-c4c6a7095ace","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T09:31:02.783000"
"8c115591-e743-4f7f-b0eb-a33b666b4621","audit","opportunity","update","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T09:29:12.764000"
"770c167c-64c1-4bc9-8bf4-cbc9b476542b","audit","opportunity","update","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T09:28:48.059000"
"f1e1b8ec-5402-4a3c-89f0-b8e5cf446001","audit","opportunitydocument","upload","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T09:03:36.487000"
"bbc98cc2-a310-4e64-b744-4e031e4407fd","audit","company","create","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T09:01:17.070000"
"c84dd5df-7c74-42fa-9a5b-7b6efaaa192b","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T09:00:33.110000"
"21fc458d-48c9-4c16-9cbf-40976fcc2279","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T08:58:31.538000"
"f33a1b8a-d60f-438d-85ab-2c2cdcbda715","audit","lead","convert","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T08:57:44.046000"
"4f387efb-b7ec-442f-be8c-61cd363eae4e","audit","lead","update","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T08:57:43.813000"
"9971765b-0c6c-45b1-ad3d-2dcff96c8deb","audit","lead","create","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T08:57:43.578000"
"e011c94b-41cd-468f-992a-c38b41000f5b","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T08:57:42.639000"
"069ea846-1b4b-45d9-a3c5-9208e1312abc","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T08:56:45.843000"
"ace19698-b2d5-4de7-ad8e-966b4de12bc4","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T08:56:06.050000"
"3c3b3c37-b641-45d0-adc4-430bdf5f0833","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T08:55:18.522000"
"b0b24a75-633c-4157-8b09-048a67d62354","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T08:51:14.064000"
"d8783f0a-3fcc-4096-83cd-91a1995963fc","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T08:50:50.323000"
